"user_ID","setting","value"
"0","4690DataTimeout","60"
"0","4690Timeout","15"
"0","Alerts_LastPurgeTime","Oct  4 2025 10:00PM"
"0","Alerts_RetentionDays","90"
"0","Audits_LastPurgeTime","Oct  4 2025 10:02PM"
"0","Audits_RetentionDays","90"
"0","CommandLogs_LastPurgeTime","Dec  3 2022 10:02PM"
"0","CommandLogs_RetentionDays","0"
"0","ConcurrentConnections","32"
"0","ConnectivityOrange","30"
"0","ConnectivityRed","60"
"0","ConnectivityYellow","15"
"0","DataLoadActivity","30"
"0","DataLoadAlerts","30"
"0","DataLoadAudits","30"
"0","DataLoadCommandLogs","30"
"0","DataLoadFileChangeDetection","30"
"0","DataLoadJobHistory","30"
"0","DataLoadMessages","30"
"0","DataLoadUserChangeDetection","30"
"0","FCD_LastPurgeTime","Oct  4 2025 10:02PM"
"0","FCD_RetentionDays","224"
"0","Feature: ACE Personalization","B35775AC-8FD2-4B9B-A087-EC8BA37B4FD3"
"0","Feature: CHEC Functionality","C4808B24-3B52-4AF3-8C14-BBF6E82669D5"
"0","Feature: Core Functionality","92E334A0-8C1D-410A-9AF7-994A86EDD2D1"
"0","Feature: RMA Reporting","3EB7ACE1-3411-48AD-9D35-0FD6D58EBF8A"
"0","Feature: User Authorization (COPS)","593CEC29-515C-E248-B669-1705A5126996"
"0","FTP",""
"0","FTPCustom","0"
"0","GridViewFilterRowMenuDateDefault","7"
"0","GridViewFilterRowMenuNumberDefault","5"
"0","GridViewFilterRowMenuTextDefault","3"
"0","Hardware0Level","1"
"0","Hardware0Value","90"
"0","Hardware10Level","1"
"0","Hardware10Value","50"
"0","Hardware11Level","1"
"0","Hardware11Value","50"
"0","Hardware1Level","1"
"0","Hardware1Value","90"
"0","Hardware2Level","1"
"0","Hardware2Value","90"
"0","Hardware3Level","1"
"0","Hardware3Value","90"
"0","Hardware4Level","1"
"0","Hardware4Value","75"
"0","Hardware5Level","1"
"0","Hardware5Value","75"
"0","Hardware6Level","1"
"0","Hardware6Value","75"
"0","Hardware7Level","1"
"0","Hardware7Value","75"
"0","Hardware8Level","1"
"0","Hardware8Value","50"
"0","Hardware9Level","1"
"0","Hardware9Value","50"
"0","JobHistory_LastPurgeTime","Oct  4 2025 11:32PM"
"0","JobHistory_RetentionDays","1825"
"0","MaxQueryRecords","250000"
"0","Messages_LastPurgeTime","Oct  4 2025 11:32PM"
"0","Messages_RetentionDays","90"
"0","MessageSeverity1Highlight","True|-16777216|-65536|False"
"0","MessageSeverity2Highlight","False|-16777216|-1|False"
"0","MessageSeverity3Highlight","False|-16777216|-1|False"
"0","MultistoreAutoSelect","0"
"0","RefreshAlerts","5"
"0","RefreshAlertsEnabled","1"
"0","RefreshAudits","5"
"0","RefreshAuditsEnabled","1"
"0","RefreshControllers","5"
"0","RefreshControllersEnabled","1"
"0","RefreshMessages","5"
"0","RefreshMessagesEnabled","1"
"0","RMA_LastPurgeTime","Oct  4 2025 11:39PM"
"0","RMA_RetentionDays","90"
"0","ShowLoginTime","0"
"0","ShowToolbarText","0"
"0","SupportEmail","storegazer@edj.com"
"0","Telnet",""
"0","TelnetCustom","0"
"0","UCD_LastPurgeTime","Oct  4 2025 11:40PM"
"0","UCD_RetentionDays","1825"
"0","UseIPAddress","1"
"0","UserActivity_LastPurgeTime","Oct  4 2025 11:39PM"
"0","UserActivity_RetentionDays","1825"
"0","UseServerDateTime","1"
"0","Utilization_LastPurgeTime","Oct  4 2025 11:40PM"
"0","Utilization_RetentionDays","90"
"0","Whitelist_LastPurgeTime","Oct  4 2025 11:44PM"
"0","Whitelist_RetentionDays","90"
